,,,,,,,,,,,,,,
anfallen,barsk,chocka,fan,förlora,hata,kallsinnig,lamslagen,modfälld,oansvarig,panik,sakna,småaktig,tarvlig,vettskrämd
aggresiva,barska,chockade,fanskap,förlorade,hatade,kallsinniga,lamslagna,modfällda,oansvariga,paraniod,saknade,småaktiga,tarvliga,vettskrämda
aggresivitet,bastard,chockera,fara,förlorare,hatar,kamp,lamslå,modlös,oartig,paranoida,saknar,småaktigt,tarvligt,vidrig
aggression,bastarder,cynisk,farhåg,förlorat,hatisk,kamper,lamslår,modlösa,oartiga,patetisk,samvetskval,smärta,taskig,vidriga
aggressiv,bedra,cyniska,farhåga,förlust,hatiska,katastrofal,ledsen,moloken,obehag,patetiska,sarkasm,smärtade,tillbakahållen,vidrigt
aggressiva,bedragen,defensiv,farhågor,förnedra,hejda,katastrofala,ledsna,molokna,obehaglig,pervert,sarkastiska,smärtande ,tillbakahållna,villrådig
allvarlig,bedragit,defensiva,faror,förnedrad,hejdade,katastrofalt,likgiltig,monster,obehagliga,perverta,sarkastiskt,smärtar,tillintetgjord,villrådiga
allvarliga,bedragna,deprimerad,fasa,förnedrade,helvete,klander,likgiltiga,motarbetad,obehagligt,pessimism,satan,smärtsam,tillintetgjorda,virrig
anföll,bedrövad,deprimerade,fasade,förnärma,hemlängtan,klandra,ljuga,motarbetade,obekväm,pessimistisk,satmara,smärtsamma,tjat,virriga
angrep,bedrövade,desperat,fasansfull,förnärmad,hemsk,konfrontera,ljuger,motbjudande,obekväma,pessimistiska,satmaror,smärtsamt,tjata,vrede
angripen,bedrövelse,desperata,fasansfulla,förnärmade,hemska,konfronterad,ljugit,motbjudande,obekvämt,pina,sentimental,snuskig,tjatade,vresig
angripna,bedövad,destruktiv,fasaväckande,förolämpa,hemskt,konfronterade,ljög,motsträvig,obenägen,pinsamt,sentimentala,snuskiga,tom,vresiga
anstötlig,bedövad,destruktiva,fejd,förolämpad,hjälplös,konfronterades,lura,motsträviga,obenägna,piss,seriös,sorg,tomhet,våldsam 
antagonism,bedövade,djävla,fejder,förolämpade,hjälplösa,konfronteras,lurad,motsägelsefull,oduglig,plump,seriösa,sorglig,trakassera,våldsamma
antagonistiska,beklaga,djävulsk,fel,förskräcklig,hopplös,konfunderad,lurade,motsägelsefulla,odugliga,plumpa,självisk,sorgsen,trakasserad,våldta
antasta,beklagade,djävulska,fiasko,förskräckliga,hopplöst,konfunderade,lurat,motvilja,oenig,plågad,själviska,sorgsna,trakasserade,våldtog
antastade,beklagansvärd,dominerad,fiende,förskräckligt,hotad,kritik,lynnig,motvillig,oeniga,plågade,självupptagen,spy,trist,vånda
antipati,beklagansvärda,dominerade,fiender,förskräckt,hotade,kritisera,lynniga,motvilliga,oense,plågat,självupptagna,spydde ,trista,våndades
antyda,bekymrad,domnad,fiendeskap,förstenad,håna,kritiserade,lynnigt,motvillighet,ofreda,plågsamt,skam,spytt,tristess,vårdslös
antydde,bekymrade,domnade,fientlig,förstummad,hånade,kritiserat,låg,mållös,ofredade,press,skamfull,sträng,trumpen,vårdslösa
arg,belastad,dum,fientliga,förstörd,hård,kritisk,längta,mållösa,oförnuftig,pressad,skamfulla,stränga,trumpna,vämjelse
arga,belastade,dumma,fientligt,förstörda,hårda,krångla,längtade,märklig,oförnuftiga,pressas,skamfyllda,strängt,tråkig,värk
arrogant,belastning,dumpad,fitta,försumma,hårresande,krånglade,längtat,märkliga,oförnuftigt,prostera,skamfyllda,stygg,tråkiga,värka
arroganta,berövad,dumpade,fittor,försummade,hämma,krånglig,lögnare,mödosamt,oförskämd,protest,skandalös,styrd,tråkiga,ynklig
avbryta,berövade,dumpat,fixerad,försummat,hämmad,krångligt,lögnerska,nedrig,oförskämda,protesterade,skandalösa,styrda,tråkigt,ynkliga
avbröt,besatta,dumt,fixerade,försvagad,hämmade,kränkande,lögnhals,nedriga,ogilla ,protesterar,skit,störd,trött,ånger
aversion,besatthet,dyster,flopp,försvagade,hämnd,kränkt,lögnhalsar,nedslagen,ogillade,protesterat,skitdålig,störda,trötta,ångest
avogsamhet,besegrad,dystra,frukta,försvarsställning,hänsynslös,kränkta,löjlig,nedslagna,ogillar,rasande,skitdåliga,störde,tveksam,ångestfylld
avskräckt,besegrade,dålig,fruktade,förtretad,hänsynslösa,kuggades,löjliga,nedstämd,ohygglig,raseri,skitdåligt,subba,tveksamma,ångestfyllda
avskräckta,beskylla,dåligt,fruktan,förtretade,hänsynslöst,kuggas,medlidande,nedstämda,ohyggliga,rastlös,skrattretande,subborna,tveksamt,ångra
avsky,beskyllde,döda,fruktansvärd,förtränga,hätsk,kuva,medömkan,negativ,ohyggligt,rastlösa,skrek,sur,tvista,ångrade
avskydde,bestraffa,dödade,frustration,förträngde,hätska,kuvade,meningslöshet,negativa,ointresserad,resignera,skrika,sura,tvistade,äckel
avskyr,bestraffade,dödande,fuskade,förtvivlad,ignorant,kval,misshandlad,nervig,ointresserade,resignerade,skräck,svartsjuk,tvivel,äcklades
avskyvärd,bestraffning,dödlig,fuskat,förtvivlade,ignoranta,kväva,misshandlade,nerviga,okänslig,resignerat,skräckslagen,svartsjuka,tvivla,äcklig
avskyvärda,bestört,dödliga,föraktad,förtvivlan,ignorera,kvävde,misslyckad,nervös,okänsliga,retad,skräckslagna,svindla,tvivlade,äckliga
avsmak,bestörta,dödligt,föraktade,förudmjukad,ignorerade,kämpade,misslyckade,nervösa,olust,retade,skrämd,svindlade,tvångsföreställning,äckligt
avund,bestörtning,eftersatt,förarga,förudmjukade,ilska,kämpar,misslyckande,nyckfull,olycklig,rigid,skrämda,svåra,tvångsföreställningar,älta
avundsam,besviken,eftersatt,förargad ,förvirrad,inbilsk,kärring,misslyckas,nyckfulla,olyckliga,rigida,skrämma,svårt,tvångstankar,älta
avundsjuk,besvikna,eftersatta,förargade,förvirrade,inbilska,kärringar,misslyckat,,omintetgjord,risk,skuldkänsla,såra,tvångstanke,ältade
avundsjuka,besvärad,egoism,förbannad,förvägrad,inhiberad,,missmodig,,omintetgjorda,riskera,skuldkänslor,sårad,tvär,ängslan
avvisa,besvärade,egoistisk,förbannade,förvägrade,inhiberade,,missmodiga,,omskakad,riskerade,skvallra,sårade,tvära,ödesdiger
avvisade,besvärlig,egoistiska,förbittrad,galen,interferera,,misstankar,,omskakade,riskerat,skvallrade,sårat,tönt,ödesdigert
,besvärliga,egotism,förbittrade,galna,irrationell,,misstanke,,ond,ruinera,skymfa,sörja,töntar,ödesdigra
,besvärligt,elak,förbjuda,gemen,irrationella,,misstro,,onda,ruinerade,skymfade,sörjde,underlägsen,ömka
,betryckt,elaka,förbjudet,gemena,irriterad,,misstänksamhet,,ondsint,runierat,slagen,,underlägsna,ömkade
,betryckta,elakt,förbjudit,generad,irriterade,,missunnsam,,ondsinta,rädd,slagna,,undertrycka,ömklig
,betungande,eländig,förbjöd,generade,isolerad,,missunnsamhet,,ondska,rädda,slagsmål,,undertryckt,övergiven
,betungd,eländiga,förbryllad,girig,isolerade,,missunnsamma,,oro,rädsla,slarvig,,undvikande,övergivna
,betungda,emotionell,förbryllade,giriga,jobbig,,,,orolig,,slarviga,,upprörande,överväldiga
,betvinga,emotionella,fördomsfull,gnat,jobbiga,,,,oroliga,,slogs,,upprörd,överväldigade
,betvingade,ensam,fördomsfulla,gnata,jävla,,,,osäker,,slyna,,upprörda,överväldigande
,bitter,ensamhet,fördomsfullt,grina,,,,,osäkra,,slynor,,upprörde,
,bitterhet,ensamma,fördärvlig,grinade,,,,,otillfredställande,,slåss,,ursinne,
,bittra,,fördärvliga,grinar,,,,,otillfredställd,,slö,,ursinnig,
,brist,,förebrå,grinat,,,,,otillfredställda,,slöa,,ursinniga,
,bråk,,förebrådde,grym,,,,,otillräcklig,,,,urtråkad,
,bråka,,förfärad,grymhet,,,,,otrevlig,,,,urtråkade,
,bråkig,,förfärade,grymma,,,,,otålig,,,,urusel,
,bråkiga,,förfärlig,gråta,,,,,otåliga,,,,urusla,
,bråkigt,,förfärliga,gråter,,,,,otåligt,,,,uselt,
,bäva,,förfärligt,gräl,,,,,otäck,,,,utmattad,
,bävade,,förgifta,gräla,,,,,otäcka,,,,utmattade,
,,,förhatlig,grämelse,,,,,otäckt,,,,utmattning,
,,,förhatliga,gräslig,,,,,ovilja,,,,utnyttjad,
,,,förhatligt,gräsliga,,,,,ovillig,,,,utnyttjade,
,,,förkrossad,gräsligt,,,,,ovilliga,,,,utnyttjande,
,,,förkrossad,grät,,,,,ovilligt,,,,,
,,,förkrossade,,,,,,ovän,,,,,
,,,förlamad,,,,,,ovänner,,,,,
,,,förlamade,,,,,,ovänskaplig,,,,,
,,,,,,,,,ovänskapliga,,,,,
,,,,,,,,,ovänskapligt,,,,,
